session_id,session_time
['SBVRUKTS'],['2020-12-10 10:17:01.580571']
['8OHD8EOI'],['2020-12-10 10:22:10.341602']
['EG191V87'],['2020-12-10 10:22:11.472940']
['QESXCVWQ'],['2020-12-10 10:25:37.390678']
['AGX5NJ7O'],['2020-12-10 10:25:38.386313']
['9BS4HSWU'],['2020-12-10 10:28:22.732310']
['H74LQ4HC'],['2020-12-10 10:28:30.862959']
['Z4YV5X9F'],['2020-12-10 10:28:31.095688']
['1HJC6SRW'],['2020-12-10 10:53:28.987918']
['2UBHVUWX'],['2020-12-10 10:53:30.212725']
['R7TCHBE3'],['2020-12-10 10:53:36.869536']
['NM7DTRL9'],['2020-12-10 10:53:37.070964']
['3DW5O7SP'],['2020-12-10 11:05:15.349663']
['JXW5ZLK2'],['2020-12-10 11:05:18.975585']
['2B0FQUBU'],['2020-12-10 11:05:44.922049']
['DLVBQNZ7'],['2020-12-10 11:05:56.399656']
['U0OIR5PY'],['2020-12-10 11:05:56.668718']
['4DU7MHVQ'],['2020-12-10 11:19:15.443061']
['4GNHMA0B'],['2020-12-10 11:19:22.089907']
['KFQ0SJ9O'],['2020-12-10 11:19:22.342115']
['43O49KLW'],['2020-12-10 11:21:25.009020']
['4I05HGQ0'],['2020-12-10 17:14:15.432831']
['78FOLT66'],['2020-12-10 17:14:41.593858']
['JO1FTNZB'],['2020-12-10 17:15:47.846405']
['9YDGSC6A'],['2020-12-10 17:18:07.668958']
['QJ244JER'],['2020-12-10 20:07:53.946470']
['5O4IW7TF'],['2020-12-10 20:08:11.533571']
['IHZ241IJ'],['2020-12-10 20:08:40.571211']
['0HOXVKR3'],['2020-12-10 20:11:56.991871']
['MGWZNEZI'],['2020-12-10 20:13:32.585350']
['1I1YT3ZD'],['2020-12-10 20:14:02.008697']
['KGDA22JC'],['2020-12-10 20:14:41.702410']
['HXRWJAQS'],['2020-12-10 20:14:44.835336']
['FZOGWZW6'],['2020-12-10 20:23:40.597648']
['Y6RWO8K2'],['2020-12-11 10:23:30.432674']
['X0QQAJYP'],['2020-12-11 10:24:47.322273']
['MA4T7R5L'],['2020-12-11 10:50:06.873167']
['OJPNLHKY'],['2020-12-11 10:51:06.279726']
['AKZYX5J4'],['2020-12-11 10:52:23.600551']
['XC3MM5Q9'],['2020-12-11 10:52:24.462682']
['S1T1I6BE'],['2020-12-11 11:09:24.344131']
['R2248X2M'],['2020-12-11 11:09:42.546189']
['ZKUAZVRF'],['2020-12-11 11:09:43.537435']
['WK527O5C'],['2020-12-11 15:59:09.596686']
['6Z0Y9BOA'],['2020-12-11 17:15:03.726804']
['JAZQT263'],['2020-12-11 17:15:03.885845']
['N3S07JKC'],['2020-12-11 17:17:20.953369']
['PD84THWS'],['2020-12-11 17:17:22.409666']
['EEU3KV5V'],['2020-12-11 17:31:24.352313']
['FX654B2X'],['2020-12-11 17:36:07.012557']
['ZJG45HUQ'],['2020-12-11 17:36:32.750576']
['4WCGNYJZ'],['2020-12-11 17:51:56.091432']
['1APJ3QR8'],['2020-12-11 17:55:39.055293']
['4BC27NVZ'],['2020-12-11 17:55:40.796551']
['RAC525HX'],['2020-12-11 17:58:14.384711']
['OB5RC636'],['2020-12-21 13:32:46.017610']
['HK7JT6SY'],['2020-12-21 13:33:09.343759']
['ZZR7CEH5'],['2020-12-21 13:33:10.338864']
['JW1NDH9B'],['2020-12-21 13:44:57.582741']
['AGC5YIUB'],['2020-12-21 13:47:40.818988']
['DKUE4BNN'],['2020-12-21 18:05:18.471854']
['WYBN5IPC'],['2020-12-21 19:32:12.429095']
['869790VS'],['2020-12-21 19:32:12.633042']
['Z37R1358'],['2020-12-21 19:42:12.428605']
['54KTGDVC'],['2020-12-21 19:42:31.022073']
['DFEGTFNF'],['2020-12-21 19:42:35.621279']
['DQTYC3AN'],['2020-12-21 19:42:49.971181']
['40FK1IZ9'],['2020-12-21 19:45:21.856556']
['I4RILCO9'],['2020-12-21 19:45:27.175844']
['BOQN6SMH'],['2020-12-21 19:48:44.487913']
['CT9L8LRO'],['2020-12-21 19:51:24.812732']
['3V44PVRU'],['2020-12-21 19:51:39.960053']
['90JBBERM'],['2020-12-21 19:51:40.982967']
['9GT2DSAP'],['2020-12-21 19:54:07.710562']
['GOC2G6M0'],['2020-12-21 19:54:18.578460']
['FFNFZ2SB'],['2020-12-21 19:56:42.759024']
['RXDRBBHO'],['2020-12-21 19:56:43.841902']
['VQ5CR3M2'],['2020-12-21 19:59:03.486337']
['1O0IAHQX'],['2020-12-21 19:59:07.458308']
['2I0OWQRG'],['2020-12-21 20:03:44.556235']
['350PDZAC'],['2020-12-21 20:03:45.367760']
['AURTJ63E'],['2020-12-21 20:06:38.595376']
['DO7CPLUS'],['2020-12-21 20:07:33.249005']
['AP95ZXT4'],['2020-12-21 20:09:42.750491']
['3BRJ46TP'],['2020-12-22 20:49:09.626522']
['EZO2CA0L'],['2020-12-22 20:51:09.428241']
['HKJU3301'],['2020-12-22 20:51:42.580758']
['RLXATMNH'],['2020-12-22 20:52:34.471472']
['EXMO34MS'],['2020-12-22 20:52:40.443849']
['7WALX110'],['2020-12-22 20:53:16.807426']
['KZTLRLJ5'],['2020-12-22 20:53:22.101654']
['P5K2BMON'],['2020-12-22 23:06:56.533174']
['5MONP6GU'],['2020-12-22 23:08:53.125548']
['0Q4BUSHO'],['2020-12-22 23:10:17.080971']
['E88ELME9'],['2020-12-22 23:10:17.947013']
['XQX5S9DV'],['2020-12-22 23:10:22.829084']
['9G9S3H6E'],['2020-12-22 23:11:06.964224']
['ICNW7UYO'],['2020-12-22 23:11:52.277176']
['6RNVM2MQ'],['2020-12-22 23:13:08.743490']
['732ZQS3L'],['2020-12-22 23:13:09.791508']
['D7Z3JB8C'],['2020-12-22 23:22:23.353821']
['VHGKRQ2F'],['2020-12-22 23:22:32.190882']
['9D16RVPD'],['2020-12-22 23:22:58.571161']
['4WFWR7SZ'],['2020-12-22 23:22:59.558095']
['QCDF7420'],['2020-12-22 23:23:09.727930']
['N0BDRB2C'],['2020-12-22 23:23:13.049669']
['AS28UYXK'],['2020-12-22 23:23:51.484081']
['QWRT7L10'],['2020-12-22 23:27:12.160998']
['GU2J5698'],['2020-12-22 23:27:13.079863']
['IBM4L3V1'],['2020-12-22 23:27:18.148167']
['0H0E1HHS'],['2020-12-22 23:27:25.332823']
['7PUTY0GT'],['2020-12-22 23:27:26.353078']
['43BKB6A7'],['2020-12-22 23:28:40.504895']
['QCQ37T8D'],['2020-12-22 23:32:46.685776']
['ECAS111P'],['2020-12-22 23:35:06.617038']
['ALA33EHE'],['2020-12-22 23:36:52.152895']
['8BDP6E1E'],['2020-12-22 23:40:33.777530']
['45G4LERQ'],['2020-12-22 23:41:24.324401']
['RBEOUPZT'],['2020-12-22 23:41:26.278209']
['DCQZ44X4'],['2020-12-22 23:41:29.576775']
['IOCS4Z75'],['2020-12-22 23:49:36.209275']
['L64NUHSW'],['2020-12-23 00:01:06.409269']
['WT5AI4L0'],['2020-12-23 00:02:40.841873']
['EVF9O4RI'],['2020-12-23 00:05:28.066301']
['JQZXK1AH'],['2020-12-23 00:10:35.718826']
['BGXRF4MX'],['2020-12-23 00:11:52.356129']
['UM6MEF4K'],['2020-12-23 00:12:03.337944']
['3K08JILC'],['2020-12-23 00:12:07.672930']
['F2JXRW93'],['2020-12-23 00:12:09.191571']
['RES0JX0J'],['2020-12-23 10:17:09.464802']
['OMVDI9NO'],['2020-12-23 10:17:17.095664']
['I2BAAAS6'],['2020-12-23 10:17:55.844399']
['R8SQW783'],['2020-12-23 10:17:56.239786']
['9MIB45LP'],['2020-12-23 10:18:00.122760']
['23RZ6IAW'],['2020-12-23 10:18:04.298528']
['Z4VAA7RS'],['2020-12-23 10:18:05.208132']
['CNAF673Y'],['2020-12-23 10:18:16.639520']
['U251RWWX'],['2020-12-23 10:18:17.562038']
['GYC787GW'],['2020-12-23 10:18:40.272248']
['ENHJ8R2J'],['2020-12-23 10:20:28.207781']
['5V9YFO8L'],['2020-12-23 10:20:33.741539']
['R3I1P5OI'],['2020-12-23 10:20:50.080783']
['I6SDCV34'],['2020-12-23 10:20:51.146138']
['1ZDDOF79'],['2020-12-23 11:16:04.270282']
['SY82EZ5C'],['2020-12-23 11:16:19.213978']
['FQRQT00E'],['2020-12-23 11:20:08.392817']
['XVXDKIMY'],['2020-12-23 11:20:10.988684']
['WOH8PYNJ'],['2020-12-23 11:20:20.690741']
['FAQ7IV59'],['2020-12-23 11:21:51.178203']
['CX45LS9F'],['2020-12-23 11:21:51.600204']
['VSRZL250'],['2020-12-23 11:26:33.993989']
['ZD1NN7T5'],['2020-12-23 11:26:35.921986']
['CTG0K6QL'],['2020-12-23 11:31:15.200287']
['6QBHXZQN'],['2020-12-23 11:31:17.312282']
['FSNAC9OR'],['2020-12-23 11:35:31.680495']
['6A174Y2R'],['2020-12-23 11:35:32.884492']
['R0KZ7HRF'],['2020-12-23 11:36:13.190498']
['LNO41AY2'],['2020-12-23 11:38:45.268602']
['BXC21IKM'],['2020-12-23 11:39:06.878750']
['ZTI42L3X'],['2020-12-23 11:39:24.953272']
['8G620YM4'],['2020-12-23 11:43:06.866640']
['RZLW7211'],['2020-12-23 11:43:23.889460']
['81KRMN24'],['2020-12-23 11:43:36.305870']
['CUBJ676U'],['2020-12-23 11:43:41.155873']
['UDV8RHTY'],['2020-12-23 11:43:59.431884']
['JD8WDKNV'],['2020-12-23 11:48:39.544848']
['VE6NAO57'],['2020-12-23 11:51:14.105954']
['O3XX538Y'],['2020-12-23 11:54:12.708825']
['4OEQG3FW'],['2020-12-23 11:55:33.233555']
['Q2HNAU2J'],['2020-12-23 11:56:40.551234']
['EEF50XYL'],['2020-12-23 11:59:56.788996']
['7OATKVS0'],['2020-12-23 12:01:21.583992']
['B0REH6IB'],['2020-12-23 12:03:44.062539']
['LOCKBOGY'],['2020-12-23 12:27:54.830675']
['V8INWF4F'],['2020-12-23 12:28:37.215676']
['7QL335XE'],['2020-12-23 12:28:44.391671']
['Q2LVCMIN'],['2020-12-23 19:48:42.995040']
['KCM6BHC8'],['2020-12-23 19:49:36.705435']
['4VDDTQF2'],['2020-12-23 20:35:06.927668']
['HZI8UDOO'],['2020-12-23 20:36:37.835194']
['6NOUVIOP'],['2020-12-23 20:38:11.439291']
['LNA20IWC'],['2020-12-23 20:38:52.478656']
['WWAXYDNB'],['2020-12-23 20:39:57.891486']
['WQ688VBC'],['2020-12-23 20:43:57.760023']
['WUDMCVNH'],['2020-12-23 21:29:12.683405']
['OMBM61ZZ'],['2020-12-23 21:29:48.376973']
['I8XA46JP'],['2020-12-23 21:32:26.725073']
['IKTAI5S2'],['2020-12-23 21:35:19.589832']
['6M7ED06G'],['2020-12-23 21:38:21.763177']
['HNT6D8FJ'],['2020-12-23 22:18:37.438342']
['E07ONAZD'],['2020-12-23 22:28:01.571503']
['EDKTDMW8'],['2020-12-23 22:32:56.034229']
['46A9VLNN'],['2020-12-23 22:33:26.023131']
['1DC5OBUV'],['2020-12-23 22:38:14.463814']
['LGVLT5EU'],['2020-12-23 22:51:12.703080']
['9YS89WG9'],['2020-12-23 22:52:13.686775']
['ELVAPELD'],['2020-12-23 22:53:34.942752']
['ABDFFL8I'],['2020-12-23 22:54:17.379062']
['8N8JLL3I'],['2020-12-23 22:57:24.796502']
['T1W56QVW'],['2020-12-23 23:06:56.631703']
['10RBZHXL'],['2020-12-26 18:02:33.801335']
['9GHJXTQ8'],['2020-12-26 18:04:52.449689']
['FI1JC8PS'],['2020-12-26 18:11:06.829545']
['C8FDRZTC'],['2020-12-26 18:12:21.184695']
['X0RL4FFY'],['2020-12-26 18:13:03.637174']
['RFFW5PZ7'],['2020-12-26 18:30:34.469531']
['ASG24D79'],['2020-12-26 18:36:16.387706']
['WOBJJ84T'],['2020-12-26 18:45:35.949556']
